0-01-L03-Q01-I00	一	ㄧˋ	ㄧ
0-01-L03-Q06-I02	一	ㄧˋ	ㄧ
0-01-L03-Q08-I04	一	ㄧˋ	ㄧ
0-01-L04-Q05-I04	一	ㄧˋ	ㄧ
0-01-L04-Q09-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-01-L05-Q04-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-01-L05-Q09-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-01-L06-Q03-I03	悄	ㄑㄧㄠ	ㄑㄧㄠˇ
0-01-L06-Q03-I04	悄	ㄑㄧㄠ	ㄑㄧㄠˇ
0-01-L06-Q09-I00	悄	ㄑㄧㄠ	ㄑㄧㄠˇ
0-01-L06-Q09-I01	悄	ㄑㄧㄠ	ㄑㄧㄠˇ
0-01-L06-Q09-I03	不	ㄅㄨˊ	ㄅㄨˋ
0-01-L07-Q04-I03	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L01-Q04-I05	髮	ㄈㄚˋ	ㄈㄚˇ
0-03-L02-Q02-I02	一	ㄧˋ	ㄧ
0-03-L02-Q06-I02	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L03-Q04-I03	蹈	ㄉㄠˇ	ㄉㄠˋ
0-03-L03-Q07-I04	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L03-Q08-I03	盡	ㄐㄧㄣˇ	ㄐㄧㄣˋ
0-03-L04-Q02-I06	強	ㄑㄧㄤˊ	ㄑㄧㄤˇ
0-03-L05-Q05-I06	處	ㄔㄨˋ	ㄔㄨˇ
0-03-L05-Q06-I02	突	ㄊㄨ	ㄊㄨˊ
0-03-L06-Q05-I00	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L06-Q07-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-03-L07-Q04-I04	仔	ㄗㄞˇ	ㄗˇ
0-03-L07-Q05-I05	髮	ㄈㄚˋ	ㄈㄚˇ
0-03-L07-Q10-I01	仔	ㄗㄞˇ	ㄗˇ
0-03-L08-Q01-I01	髮	ㄈㄚˋ	ㄈㄚˇ
0-03-L08-Q06-I00	垃	ㄌㄚ	ㄌㄜˋ
0-03-L08-Q06-I01	圾	ㄐㄧ	ㄙㄜˋ
0-03-L08-Q09-I04	髮	ㄈㄚˋ	ㄈㄚˇ
0-03-L10-Q03-I04	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L10-Q06-I02	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L11-Q07-I02	不	ㄅㄨˊ	ㄅㄨˋ
0-03-L11-Q10-I03	識	ㄕˊ	ㄕ˙
0-03-L12-Q01-I05	擊	ㄐㄧ	ㄐㄧˊ
0-03-L12-Q04-I07	跌	ㄉㄧㄝ	ㄉㄧㄝˊ
0-03-L12-Q10-I01	擊	ㄐㄧ	ㄐㄧˊ
0-02-L02-Q08-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-02-L03-Q05-I00	跌	ㄉㄧㄝ	ㄉㄧㄝˊ
0-02-L03-Q08-I06	跌	ㄉㄧㄝ	ㄉㄧㄝˊ
0-02-L04-Q01-I08	乾	ㄑㄧㄢˊ	ㄍㄢ
0-02-L06-Q02-I06	垃	ㄌㄚ	ㄌㄜˋ
0-02-L06-Q02-I07	圾	ㄐㄧ	ㄙㄜˋ
0-02-L06-Q06-I04	垃	ㄌㄚ	ㄌㄜˋ
0-02-L06-Q06-I05	圾	ㄐㄧ	ㄙㄜˋ
0-02-L06-Q09-I03	垃	ㄌㄚ	ㄌㄜˋ
0-02-L06-Q09-I04	圾	ㄐㄧ	ㄙㄜˋ
0-02-L07-Q04-I02	得	ㄉㄜˊ	ㄉㄜ˙
0-02-L07-Q08-I07	晃	ㄏㄨㄤˇ	ㄏㄨㄤ˙
